Crossing ID,Google Maps,County,City,Route,Street,Urban Rural,MPO,RPO,Primary RR,Trains Per Day,TPD Source,TPD Year,Train Speed,Total Tracks,Warning Device,Is Shortline RR,Is Amtrak Service,Road Class,Road Lanes,Road Speed,AADT,AADT Truck,AADT Year,Crashes 5yrs,Crashes PDO,Crashes Injury,Crashes Fatal,Blocked Reports,Lat WGS84,LonWGS84,ObjectId,x,y
481805W,"https://www.google.com/maps/@39.00687447,-83.80890213,200m/data=!3m1!1e3",BROWN,SARDINIA,CR 76,S MAIN ST,Rural,None,Ohio Valley Regional Development Commission,CCET - Cincinnati East Terminal Rwy,10,PUCO/FRA,2016,40,1,Flashing Lights,Yes,No,7 - Local,2,25,872,27,2021,0,0,0,0,0,39.00687447,-83.80890213,261,-9329564.3090549,4722656.32926467
155147E,"https://www.google.com/maps/@39.94514571,-84.16881345,200m/data=!3m1!1e3",MIAMI,TIPP CITY,TR 150,E EVANSTON RD,Rural,Miami Valley Regional Planning Commission (Dayton),None,CSX - CSX Transportation,22,PUCO/FRA,2023,50,1,Lights and Gates,No,No,5 - Major Collector,2,25,1767,89,2021,0,0,0,0,0,39.94514571,-84.16881345,3842,-9369629.45392803,4857974.20248098
258783N,"https://www.google.com/maps/@39.9351828,-83.77827087,200m/data=!3m1!1e3",CLARK,SPRINGFIELD,CR 502,N BELMONT AVE,Urban,Clark County-Springfield Transportation Coordinating Committee (Springfield),None,IORY - Indiana & Ohio Railway,4,FRA,2017,20,1,Lights and Gates,Yes,No,4 - Minor Arterial,4,35,10271,329,2021,0,0,0,0,0,39.9351828,-83.77827087,925,-9326154.45278935,4856527.68633658
513253B,"https://www.google.com/maps/@39.96627586,-83.07747098,200m/data=!3m1!1e3",FRANKLIN,COLUMBUS,CR 66,HAGUE AVE,Urban,Mid-Ohio Regional Planning Commission (Columbus),None,NS - Norfolk Southern Railway Company,20,PUCO/FRA,2020,50,2,Lights and Gates,No,No,4 - Minor Arterial,2,Unknown,10118,443,2021,0,0,0,0,7,39.96627586,-83.07747098,1257,-9248141.76588656,4861042.78891247
903800G,"https://www.google.com/maps/@39.98790906,-83.12311346,200m/data=!3m1!1e3",FRANKLIN,COLUMBUS,MR 797 P,EQUITY DR,Urban,Mid-Ohio Regional Planning Commission (Columbus),None,NS - Norfolk Southern Railway Company,0,PUCO/FRA,2019,10,2,Crossbucks,No,No,7 - Local,2,Unknown,1899,38,2020,0,0,0,0,0,39.98790906,-83.12311346,1589,-9253222.6635187,4864185.41258222
503663X,"https://www.google.com/maps/@39.98198279,-81.55343034,200m/data=!3m1!1e3",GUERNSEY,BYESVILLE,TR 4382,HOPE AVE,Urban,None,Ohio Mid-Eastern Governments Association,CUOH - Columbus & Ohio River Railroad,5,PUCO/FRA,2022,10,2,Flashing Lights,Yes,No,5 - Major Collector,2,45,2352,118,2021,0,0,0,0,0,39.98198279,-81.55343034,1921,-9078486.33789351,4863324.41296849
473655V,"https://www.google.com/maps/@41.2630678,-82.79575386,200m/data=!3m1!1e3",HURON,BELLEVUE,SR 4,SR-4,Rural,None,None,WE - Wheeling & Lake Erie Railway Company,9,FRA,2021,55,2,Lights and Gates,Yes,No,4 - Minor Arterial,2,55,1836,257,2021,0,0,0,0,1,41.2630678,-82.79575386,2253,-9216781.15954041,5051221.88294324
509407C,"https://www.google.com/maps/@41.55552488,-83.32003677,200m/data=!3m1!1e3",OTTAWA,MARTIN,TR 214,N OPFER LENTZ RD,Rural,None,None,NS - Norfolk Southern Railway Company,50,PUCO/FRA,2022,79,2,Lights and Gates,No,Yes,7 - Local,2,40,238,12,2021,0,0,0,0,0,41.55552488,-83.32003677,3913,-9275144.06611323,5094630.01667237
474380T,"https://www.google.com/maps/@40.79569472,-81.36857773,200m/data=!3m1!1e3",STARK,CANTON,MR 1830,3RD ST,Urban,Stark County Area Transportation Study (Canton),None,WE - Wheeling & Lake Erie Railway Company,2,PUCO/FRA,2021,10,1,Lights and Gates,Yes,No,4 - Minor Arterial,2,25,387,35,2021,0,0,0,0,0,40.79569472,-81.36857773,4174,-9057908.6394765,4982253.22652279
919860N,"https://www.google.com/maps/@41.12039769,-81.88448605,200m/data=!3m1!1e3",MEDINA,MEDINA,TR 740,IMAGINE LN,Urban,"Northeast Ohio Areawide Coordinating Agency (Cleveland, Lorain-Elyria)",None,WE - Wheeling & Lake Erie Railway Company,0,PUCO/FRA,2021,10,1,Crossbucks,Yes,No,7 - Local,2,45,2264,113,2020,0,0,0,0,0,41.12039769,-81.88448605,3249,-9115339.29095491,5030116.54803857
837687K,"https://www.google.com/maps/@41.02280629,-81.59097625,200m/data=!3m1!1e3",SUMMIT,BARBERTON,CR 97,FAIRVIEW AVE,Urban,Akron Metropolitan Area Transportation Study (Akron),None,AB - Akron Barberton Cluster Railway Company,2,PUCO/FRA,2021,10,1,Flashing Lights,Yes,No,4 - Minor Arterial,2,Unknown,5095,50,2021,0,0,0,0,0,41.02280629,-81.59097625,4506,-9082665.92947608,5015706.16862333
002103G,"https://www.google.com/maps/@41.08889618,-81.68745391,200m/data=!3m1!1e3",MEDINA,COPLEY,CR 2,MEDINA LINE RD,Rural,Akron Metropolitan Area Transportation Study (Akron),None,WE - Wheeling & Lake Erie Railway Company,5,PUCO/FRA,2021,40,1,Lights and Gates,Yes,No,5 - Major Collector,2,45,3120,218,2020,0,0,0,0,0,41.08889618,-81.68745391,3178,-9093405.7734602,5025462.68568753
472670U,"https://www.google.com/maps/@41.16337836,-81.3741561,200m/data=!3m1!1e3",PORTAGE,KENT,CR 140,FAIRCHILD AVE,Urban,Akron Metropolitan Area Transportation Study (Akron),None,WE - Wheeling & Lake Erie Railway Company,2,PUCO/FRA,2021,25,1,Lights and Gates,Yes,No,4 - Minor Arterial,2,25,1781,50,2021,0,0,0,0,0,41.16337836,-81.3741561,3510,-9058529.62078436,5036469.88380405
152219V,"https://www.google.com/maps/@41.2430085,-82.70095779,200m/data=!3m1!1e3",HURON,MONROEVILLE,SR 547,MONROE ST,Rural,None,None,WE - Wheeling & Lake Erie Railway Company,0,FRA,2021,15,1,Crossbucks,Yes,No,5 - Major Collector,2,35,2382,77,2021,0,0,0,0,0,41.2430085,-82.70095779,2917,-9206228.50929881,5048251.70909023
258687L,"https://www.google.com/maps/@40.31816654,-83.97688278,200m/data=!3m1!1e3",LOGAN,QUINCY,CR 34,S CR 34,Rural,None,Logan-Union-Champaign Regional Planning Commission,IORY - Indiana & Ohio Railway,2,PUCO/FRA,2017,25,1,Crossbucks,Yes,No,7 - Local,2,45,186,10,2021,0,0,0,0,0,40.31816654,-83.97688278,2585,-9348263.82947602,4912285.66652557
476962E,"https://www.google.com/maps/@40.53434002,-84.39171474,200m/data=!3m1!1e3",AUGLAIZE,ST. MARYS,CR 114 A,GREENVILLE RD,Rural,None,None,RJCW - R. J. Corman Western Ohio Line,1,FRA,2019,10,1,Crossbucks,Yes,No,5 - Major Collector,4,25,941,38,2021,0,0,0,0,0,40.53434002,-84.39171474,593,-9394442.712028,4943897.66409522
481525U,"https://www.google.com/maps/@40.52025226,-83.11633602,200m/data=!3m1!1e3",MARION,MARION,CR 108,OWENS RD W,Rural,None,Central Ohio Rural Planning Organization,NS - Norfolk Southern Railway Company,32,FRA,2020,60,1,Lights and Gates,No,No,6 - Minor Collector,2,45,1132,57,2021,0,0,0,0,4,40.52025226,-83.11633602,3581,-9252468.20234902,4941834.44932446
523456H,"https://www.google.com/maps/@40.86951376,-84.58937405,200m/data=!3m1!1e3",VAN WERT,VAN WERT,TR 134,WOODLAND AVE,Urban,None,None,"CFE - Chicago, Ft. Wayne & Eastern",0,PUCO/FRA,2017,10,1,Crossbucks,Yes,No,7 - Local,2,25,921,56,2021,0,0,0,0,0,40.86951376,-84.58937405,4838,-9416446.04576775,4993113.98312105
532602K,"https://www.google.com/maps/@40.8176228,-83.13083589,200m/data=!3m1!1e3",WYANDOT,NEVADA,SR 231,S MAIN ST,Rural,None,None,"CFE - Chicago, Ft. Wayne & Eastern",10,PUCO/FRA,2017,40,2,Lights and Gates,Yes,No,5 - Major Collector,4,35,1032,40,2021,0,0,0,0,0,40.8176228,-83.13083589,5502,-9254082.32049399,4985478.17182912
920786H,"https://www.google.com/maps/@40.86227493,-81.75464991,200m/data=!3m1!1e3",WAYNE,ORRVILLE,MR 290,COLLINS BLVD,Urban,None,None,NS - Norfolk Southern Railway Company,0,PUCO/FRA,2019,10,1,Crossbucks,No,No,7 - Local,2,25,Unknown,Unknown,2021,0,0,0,0,0,40.86227493,-81.75464991,5170,-9100885.99796355,4992048.42245809
229029K,"https://www.google.com/maps/@39.48234162,-82.32849054,200m/data=!3m1!1e3",HOCKING,HAYDENVILLE,TR 1082,PATTON ST,Rural,None,Buckeye Hills-Hocking Valley Regional Development District,HVSR - Hocking Valley Scenic Railway,0,PUCO/FRA,Unknown,30,1,Crossbucks,Yes,No,7 - Local,1,40,48,1,2020,0,0,0,0,0,39.48234162,-82.32849054,2562,-9164765.64469164,4791000.27193379
527924N,"https://www.google.com/maps/@40.07068036,-83.55184173,200m/data=!3m1!1e3",CHAMPAIGN,MECHANICSBURG,MR 256,S LOCUST ST,Rural,None,Logan-Union-Champaign Regional Planning Commission,IORY - Indiana & Ohio Railway,0,FRA,2017,30,3,Crossbucks,Yes,No,7 - Local,2,25,198,6,2020,0,0,0,0,0,40.07068036,-83.55184173,902,-9300948.47622379,4876218.67896063
228650P,"https://www.google.com/maps/@40.15810992,-83.07820786,200m/data=!3m1!1e3",DELAWARE,POWELL,SR 750,W OLENTANGY ST,Urban,Mid-Ohio Regional Planning Commission (Columbus),None,CSX - CSX Transportation,11,FRA,2021,50,2,Lights and Gates,No,No,3 - Principal Arterial,2,25,14847,382,2021,0,0,0,0,1,40.15810992,-83.07820786,1898,-9248223.79499294,4888945.05346833
503326G,"https://www.google.com/maps/@40.09513213,-80.72186648,200m/data=!3m1!1e3",BELMONT,MARTINS FERRY,CR 509,HANOVER ST,Urban,Bel-O-Mar Regional Council Policy Committee (Wheeling-Bridgeport),None,NS - Norfolk Southern Railway Company,2,FRA,2020,20,1,Lights and Gates,No,No,5 - Major Collector,3,25,2848,289,2021,0,0,0,0,0,40.09513213,-80.72186648,238,-8985917.07243622,4879776.26683029
538766W,"https://www.google.com/maps/@40.27276166,-84.21649121,200m/data=!3m1!1e3",SHELBY,SIDNEY,TR 167,WRIGHT RD,Rural,None,None,CSX - CSX Transportation,16,PUCO/FRA,2022,60,2,Crossbucks,No,No,7 - Local,1,45,36,2,2020,0,0,0,0,0,40.27276166,-84.21649121,4197,-9374936.9178934,4905658.78962517
476924V,"https://www.google.com/maps/@40.65324599,-84.21675168,200m/data=!3m1!1e3",AUGLAIZE,BUCKLAND,CR 208,NATIONAL RD,Rural,None,None,RJCW - R. J. Corman Western Ohio Line,2,PUCO/FRA,2019,25,1,Crossbucks,Yes,No,7 - Local,2,45,1096,49,2021,0,0,0,0,0,40.65324599,-84.21675168,570,-9374965.91328117,4961329.28427775
472196Y,"https://www.google.com/maps/@41.48669832,-81.77394945,200m/data=!3m1!1e3",CUYAHOGA,LAKEWOOD,MR 7608,BEACH AVE,Urban,"Northeast Ohio Areawide Coordinating Agency (Cleveland, Lorain-Elyria)",None,NS - Norfolk Southern Railway Company,4,FRA,2020,35,1,Lights and Gates,No,No,7 - Local,2,25,2281,68,2020,0,0,0,0,0,41.48669832,-81.77394945,1566,-9103034.41292889,5084396.78447605
152214L,"https://www.google.com/maps/@41.02314844,-82.68624481,200m/data=!3m1!1e3",HURON,WILLARD,SR 598,SR-598,Rural,None,None,ASRY - Ashland Railway Inc.,2,FRA,2020,25,1,Lights and Gates,Yes,No,5 - Major Collector,2,55,1153,198,2021,0,0,0,0,0,41.02314844,-82.68624481,2894,-9204590.66785716,5015756.65327377
265078C,"https://www.google.com/maps/@41.0109063,-81.70391161,200m/data=!3m1!1e3",MEDINA,WADSWORTH,TR 59,SILVERCREEK RD,Urban,"Northeast Ohio Areawide Coordinating Agency (Cleveland, Lorain-Elyria)",None,AB - Akron Barberton Cluster Railway Company,0,FRA,2021,10,1,Lights and Gates,Yes,No,5 - Major Collector,2,25,3851,31,2021,0,0,0,0,0,41.0109063,-81.70391161,3226,-9095237.83624383,5013950.4737256
873452V,"https://www.google.com/maps/@41.06088834,-80.65767153,200m/data=!3m1!1e3",MAHONING,YOUNGSTOWN,SR 170,E MIDLOTHIAN BLVD,Urban,Eastgate Reginal Council of Governments (Youngstown),None,"YSRR - Youngstown & Southeastern Railroad Company, Inc.",1,PUCO/FRA,2021,10,1,Flashing Lights,Yes,No,4 - Minor Arterial,4,35,12035,1616,2021,0,0,0,0,0,41.06088834,-80.65767153,3865,-8978770.92329072,5021326.83264541
