STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
39,100021,1,3,1,32,0,9,1,85890,'N&W RR',,'SR 32','0.9 MI W OF JCT SR 136',99.99,1.336,1,32,0,38561828,83400728,3,3,1,1,2,1983,2,0,4627,2015,5,14,0,42,0,1,1,1,N,5,N,0,0,A,1,2,4,2,0,0,3,0,11.8,21.9,58.3,0,0,11.8,12.8,99.99,R,7.01,R,7.9,0,6,6,6,N,N,6,42.1,6,32.4,6,7,8,5,N,8,,,0,122,12,N  ,N  ,N  ,,,,0,0,0,,,,               ,2,L,1,,1,0,0,1,1,N,N,13,0,1,Y,N,6422,2035,,N,39,F,6,746.24
39,100048,1,3,1,32,0,9,1,85890,'N&W RR',,'SR 32','0.9 MI W OF JCT SR 136',99.99,1.336,1,32,0,38561828,83400876,3,3,1,1,2,1983,2,0,4627,2015,5,12.2,0,42,0,1,1,1,N,5,N,0,0,A,1,2,4,2,0,0,3,0,11.8,21.9,59.1,0,0,11.8,12.8,99.99,R,6.96,R,7.2,0,7,6,6,N,N,6,42.1,6,32.4,6,7,7,5,N,8,,,0,122,12,N  ,N  ,N  ,,,,0,0,0,,,,               ,2,R,1,,1,0,0,1,1,N,N,13,0,1,Y,N,6422,2035,,N,39,F,6,756.48
39,100137,1,3,1,32,0,9,1,58366,'CHERRY FORK CREEK',,'SR 32','2.98 MI E OF SR 247',99.99,14.919,1,32,0,38553382,83305011,3,3,1,1,2,1978,2,0,3881,2015,5,12.8,0,47,0,1,1,1,N,5,0,0,0,A,1,5,4,2,0,0,3,0,12.2,28.7,73.8,0,0,12.2,12.2,99.99,N,0,N,0,0,6,6,7,8,N,7,42.1,7,32.4,6,7,N,5,8,8,,,0,122,12,N  ,N  ,N  ,,,,0,0,0,,,,               ,2,L,1,,1,0,0,1,5,N,N,19,0,1,Y,8,5387,2035,0,N,39,F,6,900.36
39,100145,1,3,1,32,0,9,1,58366,'CHERRY FORK',,'SR 32','2.98 MI E OF SR 247',99.99,14.919,1,32,0,38553313,83305137,3,3,1,1,2,1978,2,0,3881,2015,5,10.8,0,47,0,1,0,0,1,5,0,0,0,A,1,5,4,2,0,0,3,0,12.2,28.7,73.9,0,0,12.2,12.2,99.99,N,0,N,0,0,6,7,7,8,N,7,42.1,7,32.4,7,7,N,5,8,8,,,0,122,12,N  ,N  ,N  ,,,,0,0,0,,,,               ,2,R,1,,1,0,0,1,5,N,N,19,0,1,Y,8,5387,2035,,N,39,F,6,901.58
39,100226,1,3,1,32,0,9,1,58366,'OHIO BRUSH CREEK',,'SR 32','2.89 MI W OF SR 41',99.99,19.022,1,32,0,38560928,83280872,5,3,1,1,2,1978,2,0,3881,2015,5,11,0,0,0,1,1,1,1,5,0,0,0,A,1,5,4,2,0,0,3,0,12.3,38.4,97.7,0,0,12.3,12.3,99.99,N,0,N,0,0,6,7,7,6,N,8,35.6,8,29.2,7,7,N,5,8,8,,,0,122,12,N  ,Y60,N  ,,619,,0,0,0,,,,               ,2,L,1,,1,0,0,1,5,N,N,19,0,1,Y,8,5387,2035,0,N,39,F,6,1201.71
39,100234,1,3,1,32,0,9,1,58366,'OHIO BRUSH CREEK',,'SR 32','2.89 MI W OF SR 41',99.99,19.022,1,32,0,38560866,83280840,5,3,1,1,2,1978,2,0,3881,2015,5,10.9,0,0,0,1,1,1,1,5,0,0,0,A,1,5,4,2,0,0,3,0,12.2,38.4,97.5,0,0,12.2,12.2,99.99,N,0,N,0,0,6,7,7,6,N,8,35.6,8,29.2,7,7,N,5,8,8,,,0,122,12,N  ,Y60,N  ,,619,,0,0,0,,,,               ,2,R,1,,1,0,0,1,5,N,N,19,0,1,Y,8,5387,2035,,N,39,F,6,1189.5
39,100331,1,3,1,32,0,9,1,48888,'N&W RR',,'SR 32','3.0MI W OF JCT SR 73',99.99,27.343,1,32,0,38564718,83225005,6,3,1,1,2,1972,2,0,2888,2015,6,11.3,0,22,0,1,1,0,1,5,N,0,0,A,1,2,4,2,0,0,3,0,11.8,16.5,44.2,0,0,11.8,12.8,99.99,R,7.11,R,7.2,99.8,7,7,7,N,N,8,48.6,8,38.9,7,7,9,5,N,8,,,0,221,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,2,L,1,,1,0,0,1,2,N,N,20,0,1,Y,N,4009,2035,,N,39,G,7,565.76
39,100366,1,3,1,32,0,9,1,48888,'N&W RR',,'SR 32','3.0MI W OF JCT SR 73',99.99,27.343,1,32,0,38564708,83224915,6,3,1,1,2,1972,2,0,2888,2015,6,11.3,0,22,0,1,1,1,1,5,N,0,0,A,1,2,4,2,0,0,3,0,11.8,16.5,44.4,0,0,11.8,12.8,99.99,R,7.11,R,7.2,99.8,6,6,7,N,N,8,48.6,8,38.9,6,7,9,5,N,8,,,0,122,12,N  ,N  ,N  ,,,,0,0,0,,,,               ,2,R,1,,1,0,0,1,2,N,N,20,0,1,Y,N,4009,2035,,N,39,F,6,568.32
39,100420,1,3,1,32,0,9,1,28196,'SCIOTO BRUSH CREEK',,'SR 32','0.57 MI W OF JCT SR 73',99.99,31.253,1,32,0,38580988,83205068,3,3,1,1,2,1972,2,0,2888,2015,6,12.3,0,24,0,1,1,1,1,5,0,0,0,A,1,5,4,2,0,0,3,0,11.2,22.9,61.4,0,0,11.2,12.2,99.99,N,0,N,0,0,8,8,9,8,N,8,51.8,8,42.1,8,6,N,5,8,8,,,0,221,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,2,L,1,,1,0,0,1,2,N,N,20,0,1,Y,8,4009,2035,,N,39,G,8,749.08
39,100455,1,3,1,32,0,9,1,28196,'SCIOTO BRUSH CREEK',,'SR 32','0.57MI W OF JCT SR 73',99.99,31.253,1,32,0,38580962,83204981,3,3,1,1,2,1972,2,0,2888,2015,6,11.8,0,24,0,1,1,1,1,5,0,0,0,A,1,5,4,2,0,0,3,0,11.1,22.9,61.6,0,0,11.1,12.2,99.99,N,0,N,0,0,8,8,9,8,N,8,51.8,8,42.1,8,6,N,5,8,8,,,0,221,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,2,R,1,,1,0,0,1,2,N,N,20,0,1,Y,8,4009,2035,,N,39,G,8,751.52
