Aáhi taria
Aba
Aba aba
Abbott's eel
Abbott's moray
Abbott's moray eel
Abe's angelfish
Abe's flyingfish
Abrau kilka
Abrau sprat
Abrolhos jawfish
Abrolhos kingfish
Abstract slope dragonet
Abu mullet
Abyssal assfish
Abyssal cutthroat eel
Abyssal grenadier
Abyssal halosaur
Abyssal liparid
Abyssal macrourid
Abyssal rattail
Abyssal searobin
Abyssal smooth-head
Abyssal snailfish
Abyssal spiderfish
Abyssal whiptail
Academy eel
Acadian redfish
Acadian whitefish
Acapulco damselfish
Acapulco flounder
Acapulco gregory
Acapulco major
Acary avion
Acheloos catfish
Acheloos roach
Acheron spring goby
Achilles tang
Aci spined loach
Acipinar killifish
Acned snake eel
Aconcagua grenadier
Acoupa weakfish
Acre corydoras
Acropora butterfly
Acute halfbeak
Acute-jawed mullet
Acutenose skate
Adalah
Adam's scorpionfish
Adamson's goby
Adamson's grunter
Adana bleak
Adana chub
Addis butterflyfish
Adelaide snake-blenny
Adelaide snakeblenny
Adelaide weedfish
Adelaide's weedfish
Aden blenny
Aden splitfin
Adolf's catfish
Adolf's eelpout
Adonis characin
Adonis shrimpgoby
Adonis tetra
Adorned dwarfgoby
Adorned fairy-warsse
Adorned wrasse
Adour minnow
Adriatic dwarf goby
Adriatic salmon
Adriatic sole
Adriatic sturgeon
Adriatic trout
Aegean chub
Aelita icefish
Aesop sole
Afele's dwarfgoby
Afele's fringefin goby
Afele's pygmy goby
Afghanistan silurus
Africa rivergoby
African angel shark
African angelshark
African armoured searobin
African arowana
African banded barb
African barrelfish
African basslet
African blackmouth croaker
African blackspot threadfin
African blind barb
African blind barb fish
African blockhead
African bonytongue
African brown skate
African brown snapper
African bullhead
African butter catfish
African butterflyfish
African carp
African carps
African catfish
African cherubfish
African chimaera
African clown wrasse
African coffinfish
African coris
African Creole wrasse
African cubera snapper
African deep-water flathead
African deepwater dragonet
African demoiselle
African dwarf sawshark
African eel blenny
African eel-catfish
African flyingfish
African forktail snapper
African frilled shark
African fusegoby
African gissu
African glass catfish
African gurnard
African halfbeak
African hind
African ilisha
African jack
African jawfish
African jewelfish
African knife fish
African knife-fish
African knifefish
African lantern shark
African lanternshark
African leaffish
African lionfish
African long-finned tetra
African longfin
African longfin eel
African longfin tetra
African longstripe barb
African lookdown
African lungfish
African maasbanker
African mono
African moon tetra
African moonfish
African moony
African mottled eel
African mouthbrooder
African mudhopper
African obscure snakehead
African peacock
African perch
African permit
African pike
African pike characin
African pompano
African pygmy angelfish
