d_in,w_in,h_in,t_in,concrete_cy
12,24,36,12,0.20
15,30,38,12,0.25
18,36,39,12,0.31
21,42,40,12,0.37
24,48,42,12,0.43
27,54,44,12,0.49
30,60,45,12,0.56
33,66,46,12,0.62
36,72,48,12,0.69
39,78,50,12,0.77
42,84,51,12,0.84
48,96,54,14,1.09
54,111,57,14,1.32
60,126,66,16,1.93
66,141,69,18,2.42
72,156,72,18,2.77
78,171,75,20,3.37
84,186,78,22,4.05
90,201,81,22,4.51
96,216,84,24,5.31
102,231,87,26,6.20
108,246,90,26,6.78
114,261,93,28,7.81
120,276,96,30,8.93
126,291,99,30,9.57
132,306,102,32,10.84
144,344,108,34,13.00
