beam_type,box,width_ft,n_beams,span_ft,rf_inv,rf_op,rf_ev2,rf_ev3,rf_s2f1,rf_s3f1,rf_s5c1,rf_spl60t,rf_spl65t,rf_su4,rf_su5,rf_su6,rf_su7,rf_type3,rf_type33,rf_type3s2
composite,CB17-48,24,6,20,2.30,2.98,3.78,2.94,5.57,4.23,4.44,4.18,3.91,3.92,3.70,3.70,3.70,4.44,5.40,4.76
composite,CB17-48,28,7,20,2.30,2.98,3.78,2.95,5.57,4.23,4.44,4.18,3.91,3.92,3.70,3.70,3.70,4.44,5.40,4.77
composite,CB17-48,24,6,25,2.06,2.67,3.14,2.63,4.95,3.62,3.75,3.59,3.33,3.38,3.21,3.24,3.24,3.94,4.91,4.07
composite,CB17-48,28,7,25,2.06,2.67,3.14,2.63,4.96,3.62,3.75,3.60,3.33,3.38,3.21,3.24,3.24,3.95,4.92,4.08
composite,CB17-48,24,6,30,1.94,2.51,2.84,2.36,4.67,3.34,3.43,3.31,3.00,3.06,2.91,2.96,2.96,3.50,4.26,3.75
composite,CB17-48,28,7,30,1.94,2.51,2.84,2.36,4.67,3.34,3.43,3.31,3.00,3.06,2.91,2.96,2.96,3.50,4.26,3.75
composite,CB17-48,24,6,35,1.56,2.02,2.38,1.96,4.08,2.84,2.90,2.81,2.50,2.55,2.36,2.36,2.36,2.87,3.42,3.20
composite,CB17-48,28,7,35,1.56,2.02,2.38,1.96,4.08,2.85,2.90,2.81,2.50,2.55,2.36,2.36,2.36,2.87,3.42,3.20
composite,CB17-48,24,6,40,1.65,2.14,2.53,2.08,4.35,3.03,3.09,2.97,2.64,2.71,2.51,2.50,2.54,3.05,3.63,3.40
composite,CB17-48,28,7,40,1.65,2.14,2.53,2.08,4.36,3.03,3.09,2.97,2.65,2.71,2.51,2.50,2.54,3.05,3.63,3.41
composite,CB17-48,24,6,45,1.51,1.99,2.42,1.99,4.23,2.92,2.97,2.72,2.42,2.60,2.38,2.33,2.32,2.90,3.40,3.18
composite,CB17-48,28,7,45,1.54,2.00,2.42,1.99,4.23,2.92,2.97,2.72,2.42,2.60,2.38,2.34,2.32,2.90,3.40,3.18
composite,CB21-48,24,6,30,1.94,2.51,2.84,2.36,4.67,3.34,3.43,3.31,3.00,3.06,2.91,2.96,2.96,3.50,4.26,3.75
composite,CB21-48,28,7,30,1.94,2.51,2.84,2.36,4.67,3.34,3.43,3.31,3.00,3.06,2.91,2.96,2.96,3.50,4.26,3.75
composite,CB21-48,24,6,35,2.07,2.68,3.15,2.60,5.41,3.77,3.85,3.72,3.32,3.38,3.13,3.13,3.13,3.80,4.53,4.24
composite,CB21-48,28,7,35,2.07,2.68,3.15,2.60,5.42,3.77,3.85,3.72,3.32,3.38,3.13,3.13,3.13,3.80,4.53,4.24
composite,CB21-48,24,6,40,1.69,2.19,2.67,2.19,4.65,3.21,3.26,3.14,2.79,2.86,2.62,2.57,2.55,3.19,3.74,3.50
composite,CB21-48,28,7,40,1.69,2.19,2.67,2.19,4.65,3.21,3.27,3.14,2.79,2.86,2.62,2.57,2.55,3.19,3.74,3.50
composite,CB21-48,24,6,45,1.57,2.03,2.53,2.08,4.47,3.07,3.11,2.85,2.37,2.71,2.47,2.39,2.34,3.02,3.35,3.15
composite,CB21-48,28,7,45,1.57,2.03,2.54,2.08,4.48,3.07,3.11,2.85,2.37,2.71,2.47,2.39,2.34,3.02,3.35,3.16
composite,CB21-48,24,6,50,1.44,1.87,2.40,1.96,4.27,2.91,2.95,2.68,2.07,2.56,2.32,2.22,2.14,2.84,2.95,2.79
composite,CB21-48,28,7,50,1.45,1.88,2.40,1.96,4.27,2.91,2.95,2.69,2.07,2.57,2.33,2.22,2.15,2.85,2.96,2.80
composite,CB21-48,24,6,55,1.31,1.69,2.22,1.81,3.98,2.70,2.67,2.45,1.80,2.37,2.14,2.03,1.94,2.62,2.60,2.45
composite,CB21-48,28,7,55,1.30,1.69,2.21,1.80,3.97,2.69,2.66,2.44,1.79,2.36,2.13,2.02,1.93,2.61,2.59,2.44
composite,CB21-48,24,6,60,1.32,1.71,2.26,1.84,4.07,2.75,2.63,2.40,1.77,2.41,2.17,2.05,1.95,2.66,2.59,2.45
composite,CB21-48,28,7,60,1.32,1.71,2.26,1.84,4.07,2.76,2.64,2.21,1.78,2.41,2.17,2.05,1.96,2.66,2.59,2.45
composite,CB27-48,24,6,40,2.20,2.85,3.47,2.85,6.05,4.17,4.24,4.08,3.63,3.71,3.41,3.34,3.32,4.15,4.86,4.55
composite,CB27-48,28,7,40,2.20,2.85,3.47,2.85,6.05,4.18,4.25,4.08,3.63,3.71,3.41,3.34,3.32,4.15,4.86,4.55
