Edition,Name,Footnote,Type,Designation,d,W,A,tw,tw/2,bf,tf,T,k,k1,bf/2tf,h/tw,Fy''',X1,X2x10^6,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(alpha),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Qf,Qw,B,Ht / t,Ht,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,tfdet,kdes,kdet,B/t,Sz,Qs
13th,W44X335,0,W,W44X335,44,335,98.5,1.03,  1/2 ,15.9,1.77,0,0,1  5/16,4.5,38,0,0,0,31100,1620,1410,17.8,0,0,1200,236,150,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535000,0,0,0,0,168,1180,278,805,0,0,0,0,0,0,0,0,0,44,16,1,1  3/4 ,2.56,2  5/8 ,0,0,0
13th,W44X290,0,W,W44X290,43.6,290,85.4,0.865,  7/16,15.8,1.58,0,0,1  1/4 ,5.02,45,0,0,0,27000,1410,1240,17.8,0,0,1040,205,132,3.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461000,0,0,0,0,166,1040,248,701,0,0,0,0,0,0,0,0,0,43  5/8 ,15  7/8 ,  7/8 ,1  9/16,2.36,2  7/16,0,0,0
13th,W44X262,0,W,W44X262,43.3,262,76.9,0.785,  7/16,15.8,1.42,0,0,1  3/16,5.57,49.6,0,0,0,24100,1270,1110,17.7,0,0,923,182,117,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405000,0,0,0,0,165,928,223,630,0,0,0,0,0,0,0,0,0,43  1/4 ,15  3/4 , 13/16,1  7/16,2.2,2  1/4 ,0,0,0
13th,W44X230,0,W,W44X230,42.9,230,67.7,0.71,  3/8 ,15.8,1.22,0,0,1  3/16,6.45,54.8,0,0,0,20800,1100,971,17.5,0,0,796,157,101,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346000,0,0,0,0,165,793,192,547,0,0,0,0,0,0,0,0,0,42  7/8 ,15  3/4 , 11/16,1  1/4 ,2.01,2  1/16,0,0,0
13th,W40X593,0,W,W40X593,43,593,174,1.79, 15/16,16.7,3.23,0,0,2  1/8 ,2.58,19.1,0,0,0,50400,2760,2340,17,0,0,2520,481,302,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997000,0,0,0,0,166,2240,479,1370,0,0,0,0,0,0,0,0,0,43,16  3/4 ,1 13/16,3  1/4 ,4.41,4  1/2 ,0,0,0
13th,W40X503,0,W,W40X503,42.1,503,148,1.54, 13/16,16.4,2.76,0,0,2,2.98,22.3,0,0,0,41600,2320,1980,16.8,0,0,2040,394,249,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789000,0,0,0,0,161,1830,403,1150,0,0,0,0,0,0,0,0,0,42,16  3/8 ,1  9/16,2  3/4 ,3.94,4,0,0,0
13th,W40X431,0,W,W40X431,41.3,431,127,1.34, 11/16,16.2,2.36,0,0,1  7/8 ,3.44,25.5,0,0,0,34800,1960,1690,16.6,0,0,1690,328,208,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638000,0,0,0,0,158,1510,341,969,0,0,0,0,0,0,0,0,0,41  1/4 ,16  1/4 ,1  5/16,2  3/8 ,3.54,3  5/8 ,0,0,0
13th,W40X397,0,W,W40X397,41,397,117,1.22,  5/8 ,16.1,2.2,0,0,1 13/16,3.66,28,0,0,0,32000,1800,1560,16.6,0,0,1540,300,191,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579000,0,0,0,0,156,1380,318,891,0,0,0,0,0,0,0,0,0,41,16  1/8 ,1  1/4 ,2  3/16,3.38,3  1/2 ,0,0,0
13th,W40X372,0,W,W40X372,40.6,372,109,1.16,  5/8 ,16.1,2.05,0,0,1 13/16,3.93,29.5,0,0,0,29600,1680,1460,16.5,0,0,1420,277,177,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528000,0,0,0,0,155,1280,295,829,0,0,0,0,0,0,0,0,0,40  5/8 ,16  1/8 ,1  3/16,2  1/16,3.23,3  5/16,0,0,0
13th,W40X362,0,W,W40X362,40.6,362,107,1.12,  9/16,16,2.01,0,0,1  3/4 ,3.99,30.5,0,0,0,28900,1640,1420,16.5,0,0,1380,270,173,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513000,0,0,0,0,154,1240,289,808,0,0,0,0,0,0,0,0,0,40  1/2 ,16,1  1/8 ,2,3.19,3  1/4 ,0,0,0
